Solver Algorithm,Labyrinth Dimensions [px*px],Solution Depth [units],Runtime [s],Maze Coverage [%],Tile Efficiency [units],Max Explored Depth [units]
BFS,44x44,64,8.367,25.93%,7.8438,64
DFS,44x44,64,64.533,200.00%,60.5000,184
A_Star_1,44x44,64,6.500,20.14%,6.0938,64
A_Star_2,44x44,64,6.217,19.27%,5.8281,64
BFS,44x44,248,28.950,89.72%,7.0040,248
DFS,44x44,248,66.317,205.53%,16.0444,295
A_Star_1,44x44,248,27.833,86.26%,6.7339,248
A_Star_2,44x44,248,28.067,86.98%,6.7903,248
BFS,44x44,35,4.467,13.84%,7.6571,35
A_Star_1,44x44,35,2.733,8.47%,4.6857,35
A_Star_2,44x44,35,1.983,6.15%,3.4000,35
BFS,44x44,129,23.333,72.31%,10.8527,129
DFS,44x44,129,65.367,202.58%,30.4031,178
A_Star_1,44x44,129,15.933,49.38%,7.4109,129
A_Star_2,44x44,129,14.183,43.96%,6.5969,129
BFS,44x44,215,27.633,85.64%,7.7116,215
DFS,44x44,215,66.500,206.10%,18.5581,286
A_Star_1,44x44,215,26.583,82.39%,7.4186,215
A_Star_2,44x44,215,26.567,82.33%,7.4140,215
BFS,44x44,73,12.733,39.46%,10.4658,73
DFS,44x44,73,66.283,205.42%,54.4795,248
A_Star_1,44x44,73,8.767,27.17%,7.2055,73
A_Star_2,44x44,73,9.750,30.22%,8.0137,73
BFS,50x50,159,25.683,61.64%,9.6918,159
DFS,50x50,159,84.433,202.64%,31.8616,322
A_Star_1,50x50,159,22.100,53.04%,8.3396,159
A_Star_2,50x50,159,22.367,53.68%,8.4403,159
BFS,50x50,167,35.569,86.00%,12.8743,167
DFS,50x50,167,84.659,205.12%,30.7066,213
A_Star_1,50x50,167,29.472,71.52%,10.7066,167
A_Star_2,50x50,167,30.598,70.32%,10.5269,167
BFS,50x50,13,1.050,2.60%,5.0000,13
DFS,50x50,13,85.345,205.68%,395.5385,326
A_Star_1,50x50,13,0.413,1.04%,2.0000,13
A_Star_2,50x50,13,0.392,1.00%,1.9231,13
BFS,50x50,144,29.389,71.16%,12.3542,144
DFS,50x50,144,84.776,204.48%,35.5000,214
A_Star_1,50x50,144,17.963,43.48%,7.5486,144
A_Star_2,50x50,144,20.637,49.24%,8.5486,144
BFS,50x50,64,9.006,21.80%,8.5156,64
DFS,50x50,64,85.307,205.76%,80.3750,193
A_Star_1,50x50,64,6.417,15.52%,6.0625,64
A_Star_2,50x50,64,6.331,15.40%,6.0156,64
BFS,50x50,285,36.621,88.32%,7.7474,285
DFS,50x50,285,84.347,203.40%,17.8421,350
A_Star_1,50x50,285,35.119,84.44%,7.4070,285
A_Star_2,50x50,285,35.392,85.44%,7.4947,285
