state,0,1,2,3,4,5,6,7,8
eeeexeoex,2.4,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0
eeeexooex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeoxxeeee,2.27054664,0.9894266399999998,0.0,0.0,0.0,8.16249111439512,-1.5983999999999998,-0.8368785019439997,3.4525041460560004
eooxxeeee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eexoxeeee,0.0,0.0,0.0,0.0,0.0,0.0,2.1,-2.733,-2.433
eexoxeoee,0.0,3.462,0.0,0.0,0.0,1.95474,0.0,0.0,0.0
eooexxeee,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeexoexe,-2.7,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoeexoexe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeexxeeeo,0.0,-5.913,0.0,0.0,0.0,2.4,0.0,0.0,0.0
eoexxeeeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oeeexoexe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oeeexeexe,0.0,0.0,0.0,0.0,0.0,-4.59,0.0,0.0,0.0
oeeexxeee,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,-2.7
oeeexxeeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xeeoxeeee,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.3,-0.3
xeeoxeeoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exeexeoee,0.0,0.0,-2.7,-0.3,0.0,-3.4884000000000004,0.0,2.4,0.648
exeoxeoee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eooexeeex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxoexeeox,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
oxoxxeeox,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
oxoxxeoox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeexxeeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eeeoxxeeo,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eexoxxeeo,0.0,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
