state,0,1,2,3,4,5,6
xx  o o o x  ,0.0,0.0,0.0,-0.3,0.0,-0.3,0.0
xx  o o o xx  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  x   o  ,0.0,0.0,0.6,0.0,0.0,0.0,0.0
  xx   o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  xx  o o  ,0.6,0.0,0.0,0.0,0.0,0.0,0.0
x  xx  o o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo      oo ,0.0,0.0,0.0,0.0,0.0,-0.6,0.0
xxxo     x oo ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo     x ooo ,0.0,0.0,-0.3,0.0,0.0,0.0,0.0
xxxo  x   x ooo ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxox    ooo   ,0.0,0.0,0.0,0.0,0.0,-2.1,0.0
xxxox    ooo x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x o     x ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x    o   ,0.6,1.33914,0.0,0.0,0.0,0.0,0.0
x    ox   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx      oo ,0.0,0.0,0.6,0.0,0.52974,0.0,1.962
xx  x    oo ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx  x    ooo ,0.0,0.0,0.0,0.0,0.0,-0.3,0.0
xx  x   x ooo ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x      o ,1.3509498,0.0,0.80574,0.6,0.0,0.20574,0.0
x   x   o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxox o o o    ,-2.7,0.0,0.0,0.0,0.0,-2.1,0.0
xxxoxx o o o    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    o x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  x  o x  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x  x  oo xo  ,-0.6,0.0,0.0,0.0,0.0,0.0,0.0
xx  x  oo xo  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx  x  ooo xo  ,0.0,0.0,0.0,-1.2,0.0,0.0,0.0
xx  x x ooo xo  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x   ox    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo   x o o o ,0.0,0.0,0.0,1.7999999999999998,0.0,0.0,0.0
xxxo   xx o o o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx      o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo     o o ,0.0,0.6,0.0,0.0,0.0,0.0,0.0
xxxo x    o o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxxo oo      ,0.0,0.0,0.0,0.0,-0.6,0.0,0.0
xxxo oo   x   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   x x o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   x xo o  ,0.0,0.0,0.0,1.2,0.0,0.0,0.0
   xx xo o  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x   xxo xo o o ,0.0,0.0,0.0,0.0,0.0,1.2,0.0
x   xxo xo ox o ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x   xxo xoo ox o ,0.0,0.0,0.0,0.0,0.0,0.0,-0.6
